"INSTNM","CITY","state","degree_offered","CONTROL","region","ADM_RATE","SATVRMID","SATMTMID","ACTCMMID","ACTENMID","ACTMTMID","SAT_AVG","num_undergrad","avg_cost_attendence","tuition_in","tuition_out","four_year_comp_rate","pct_of_loan","repay_5yr_rate","prop_arts_human","prop_business","prop_health_med","prop_interdiscip","prop_public_svce","prop_sci_math_tech","prop_social_sci","prop_trades_personal_svce"
"Alabama A & M University","Normal","AL","3","1","5",0.8989,410,400,17,17,17,823,4051,18888,7182,12774,0.2914,0.8204,0.491894395553,0.0348,0.1457,0,0.0827,0.0414,0.4404,0.2549,0
"University of Alabama at Birmingham","Birmingham","AL","3","1","5",0.8673,580,585,25,26,23,1146,11200,19990,7206,16398,0.5377,0.5397,0.779281930547,0.0803,0.1765,0.209,0.028,0.0524,0.1666,0.2871,0
"Amridge University","Montgomery","AL","3","2","5",NA,NA,NA,NA,NA,NA,NA,322,12300,6870,6870,0.6667,0.7629,0.569395017794,0,0.0685,0,0.6301,0.2603,0.0411,0,0
"University of Alabama in Huntsville","Huntsville","AL","3","1","5",0.8062,575,580,26,26,25,1180,5525,20306,9192,21506,0.4835,0.4728,0.785966981132,0.091,0.2247,0.172,0,0,0.4121,0.1,0
"Alabama State University","Montgomery","AL","3","1","5",0.5125,430,425,17,17,17,830,5354,17400,8720,15656,0.2517,0.8735,0.385629989587,0.075,0.1067,0.0633,0.0183,0.1833,0.1816,0.3717,0
"The University of Alabama","Tuscaloosa","AL","3","1","5",0.5655,555,570,26,27,25,1171,28692,26717,9450,23950,0.6665,0.4148,0.828183212799,0.0666,0.287,0.0946,0.1024,0.034,0.126,0.2894,0
"Central Alabama Community College","Alexander City","AL","2","1","5",NA,NA,NA,NA,NA,NA,NA,1779,12103,4200,7500,0.0909,0.4777,0.488861386139,0,0.1041,0.2045,0.5205,0,0.0855,0,0.0855
"Athens State University","Athens","AL","3","1","5",NA,NA,NA,NA,NA,NA,NA,2999,NA,NA,NA,NA,0.6277,0.786516853933,0.0617,0.4112,0.0066,0.0882,0.032,0.1048,0.2956,0
"Auburn University at Montgomery","Montgomery","AL","3","1","5",0.8371,NA,NA,21,21,20,970,4322,16556,8750,24950,0.2705,0.6476,0.643290999448,0.0303,0.2847,0.1868,0.0267,0.0694,0.1281,0.2741,0
"Auburn University","Auburn University","AL","3","1","5",0.8274,570,595,27,28,26,1215,19761,23788,9852,26364,0.6792,0.361,0.880579297246,0.0778,0.1872,0.0496,0.0706,0.0171,0.3302,0.2674,0
"Birmingham Southern College","Birmingham","AL","3","2","5",0.6422,575,580,26,27,25,1177,1181,44512,30690,30690,0.6192,0.4939,0.834586466165,0.2658,0.2226,0,0.0432,0,0.2126,0.2558,0
"Chattahoochee Valley Community College","Phenix City","AL","2","1","5",NA,NA,NA,NA,NA,NA,NA,1769,6800,4260,7590,0.1341,0.1948,0.436046511628,0.0103,0.1026,0.3744,0.3846,0.1077,0.0205,0,0
"Concordia College Alabama","Selma","AL","3","2","5",NA,NA,NA,NA,NA,NA,NA,523,17655,8090,8090,0.2115,0.91,0.260869565217,0,0.1728,0,0.4815,0,0,0.3457,0
"South University-Montgomery","Montgomery","AL","2","2","5",0.4366,NA,NA,NA,NA,NA,NA,599,28525,16360,16360,0.0784,0.7543,0.462381664175,0,0.1544,0.6397,0,0.0883,0.0735,0.0441,0
"Enterprise State Community College","Enterprise","AL","2","1","5",NA,NA,NA,NA,NA,NA,NA,1984,10193,3780,6888,0.1288,0.2673,0.631455399061,0,0.0533,0.0171,0.194,0.0021,0.0085,0,0.7249
"James H Faulkner State Community College","Bay Minette","AL","2","1","5",NA,NA,NA,NA,NA,NA,NA,4182,11921,4200,7530,0.0997,0.4042,0.596577017115,0.015,0.1047,0.3162,0.4637,0.0128,0.0577,0,0.03
"Faulkner University","Montgomery","AL","3","2","5",NA,NA,NA,NA,NA,NA,NA,2358,28485,18230,18230,0.2287,0.7427,0.608913649025,0.0106,0.6655,0.0105,0.0403,0.1996,0.0193,0.0543,0
"Gadsden State Community College","Gadsden","AL","2","1","5",NA,NA,NA,NA,NA,NA,NA,5480,10247,3900,7230,0.1445,0,NA,0,0.0677,0.2878,0.2133,0.0298,0.1377,0.0057,0.258
"New Beginning College of Cosmetology","Albertville","AL","1","2","5",NA,NA,NA,NA,NA,NA,NA,89,13482,9150,9150,0.7353,0.4422,NA,0,0,0,0,0,0,0,1
"George C Wallace State Community College-Dothan","Dothan","AL","2","1","5",NA,NA,NA,NA,NA,NA,NA,4293,8140,3900,7230,0.149,0,NA,0,0.0284,0.4118,0.2536,0.0101,0.1146,0,0.1816
"George C Wallace State Community College-Hanceville","Hanceville","AL","2","1","5",NA,NA,NA,NA,NA,NA,NA,4904,10822,4200,7530,0.1952,0.4174,0.581688596491,0.013,0.0368,0.5005,0.2303,0.0368,0.0422,0,0.1406
"George C Wallace State Community College-Selma","Selma","AL","2","1","5",NA,NA,NA,NA,NA,NA,NA,1604,14835,3900,7230,0.2482,0,NA,0,0.1032,0.2703,0.3292,0,0.0368,0,0.2605
"Herzing University-Birmingham","Birmingham","AL","1","2","5",0.7234,NA,NA,NA,NA,NA,NA,318,26656,11150,11150,0.1778,0.7153,0.582599118943,0.0054,0.0543,0.7609,0,0.0326,0.1467,0,0
"Huntingdon College","Montgomery","AL","3","2","5",0.6279,460,480,22,22,20,999,1100,31433,23500,23500,0.4319,0.7227,0.744949494949,0.0876,0.4977,0.0046,0.0645,0.0184,0.129,0.1982,0
"Heritage Christian University","Florence","AL","3","2","5",NA,NA,NA,NA,NA,NA,NA,67,21160,9792,9792,0,0.4839,0.690476190476,0,0,0,0,1,0,0,0
"J F Drake State Community and Technical College","Huntsville","AL","1","1","5",NA,NA,NA,NA,NA,NA,NA,1040,12217,3336,6000,0.1535,0,NA,0,0.1929,0.3143,0,0,0.2,0,0.2929
"Jacksonville State University","Jacksonville","AL","3","1","5",0.8326,485,480,23,22,21,1036,7195,19202,7092,13884,0.3083,0.6811,0.636780797741,0.0622,0.1253,0.2645,0.0733,0.1238,0.0923,0.2586,0
"Jefferson Davis Community College","Brewton","AL","2","1","5",NA,NA,NA,NA,NA,NA,NA,1037,9149,3908,7238,0.2955,0,NA,0,0,0.3089,0.3374,0,0.0854,0,0.2684
"Jefferson State Community College","Birmingham","AL","2","1","5",NA,NA,NA,NA,NA,NA,NA,7494,12943,4260,7590,0.0653,0.2323,0.68487394958,0,0.211,0.2793,0.2504,0.0691,0.1279,0,0.0624
"John C Calhoun State Community College","Tanner","AL","2","1","5",NA,NA,NA,NA,NA,NA,NA,9970,9829,4140,7410,0.1334,0.2773,0.616318601263,0.018,0.0129,0.3428,0.4065,6e-04,0.1388,0,0.0804
"Judson College","Marion","AL","3","2","5",0.7388,595,550,22,23,20,1023,331,27815,15630,15630,0.4051,0.711,0.721518987342,0.1724,0.069,0.3448,0.0345,0.0862,0.1551,0.1379,0
"Lawson State Community College-Birmingham Campus","Birmingham","AL","1","1","5",NA,NA,NA,NA,NA,NA,NA,2894,12602,4230,7590,0.1849,0,NA,0.0064,0.0909,0.0734,0.3541,0.0319,0.1929,0.0112,0.2392
"University of West Alabama","Livingston","AL","3","1","5",0.9957,NA,NA,20,19,20,950,1988,17959,7660,14170,0.3161,0.7193,0.552380952381,0.0305,0.2746,0.2136,0.0203,0,0.1152,0.3355,0.0102
"Lurleen B Wallace Community College","Andalusia","AL","1","1","5",NA,NA,NA,NA,NA,NA,NA,1372,13204,4170,7500,0.2055,0,NA,0,0.0268,0.438,0.2773,0,0.0779,0,0.18
"Marion Military Institute","Marion","AL","2","1","5",0.6034,525,530,22,21,22,1040,411,16520,8570,14570,0.2489,0.6257,0.64406779661,0,0,0,1,0,0,0,0
"Miles College","Fairfield","AL","3","2","5",NA,NA,NA,NA,NA,NA,NA,1663,21336,11454,11454,0.216,0.9184,0.288987435329,0.016,0.246,0,0.0321,0.262,0.2192,0.2246,0
"University of Mobile","Mobile","AL","3","2","5",0.7125,540,575,23,24,21,1058,1472,30108,18690,18690,0.4904,0.8009,0.694560669456,0.0903,0.1806,0.1806,0.1606,0.0401,0.0535,0.2943,0
"University of Montevallo","Montevallo","AL","3","1","5",0.8729,554,508,23,25,21,1070,2610,20209,10000,19690,0.4493,0.5872,0.783018867925,0.2669,0.1166,0.0429,0.1196,0.046,0.0982,0.3097,0
"Northwest-Shoals Community College","Muscle Shoals","AL","2","1","5",NA,NA,NA,NA,NA,NA,NA,3235,9111,4140,7470,0.1271,0.2559,0.567150635209,0,0.0902,0.1764,0.4124,0.0133,0.0518,0,0.256
"University of North Alabama","Florence","AL","3","1","5",0.8092,489,482,22,20,22,1028,5536,15058,7078,12670,0.3216,0.6883,0.739718309859,0.0851,0.1586,0.167,0.1134,0.0914,0.0663,0.3184,0
"Northeast Alabama Community College","Rainsville","AL","2","1","5",NA,NA,NA,NA,NA,NA,NA,2376,7860,4200,7530,0.2399,0,0.620629370629,0,0.079,0.2889,0.272,0.0767,0.0857,0,0.1975
"Oakwood University","Huntsville","AL","3","2","5",0.3435,462,455,20,20,19,924,1854,34705,16234,16234,0.3632,0.7411,0.493192133132,0.0723,0.1306,0.1556,0.0973,0.1222,0.2444,0.1777,0
"Alabama Southern Community College","Monroeville","AL","2","1","5",NA,NA,NA,NA,NA,NA,NA,1218,10701,4200,7530,0.2338,0,NA,0,0.1196,0.2292,0.3389,0,0.1528,0,0.1595
"Prince Institute-Southeast","Montgomery","AL","2","2","5",NA,NA,NA,NA,NA,NA,NA,102,24676,9685,9685,0.2544,0.8678,0.627118644068,0,0.2143,0.5,0,0.2857,0,0,0
"Reid State Technical College","Evergreen","AL","1","1","5",NA,NA,NA,NA,NA,NA,NA,414,9693,4260,7590,0.3429,0,NA,0,0.0635,0.3175,0.0423,0,0.0741,0,0.5025
"Bishop State Community College","Mobile","AL","2","1","5",NA,NA,NA,NA,NA,NA,NA,3363,10059,4200,7530,0.1097,0,NA,0,0.0233,0.2403,0.2972,0,0.1162,0,0.323
"Samford University","Birmingham","AL","3","2","5",0.7697,565,560,26,27,24,1153,2995,38835,26328,26328,0.692,0.3653,0.933333333333,0.1539,0.1612,0.1524,0.114,0.034,0.068,0.3166,0
"Selma University","Selma","AL","3","2","5",NA,NA,NA,NA,NA,NA,NA,447,11187,5840,5840,0.2133,0.7679,NA,0.5769,0.1923,0,0.2308,0,0,0,0
"Shelton State Community College","Tuscaloosa","AL","2","1","5",NA,NA,NA,NA,NA,NA,NA,4859,13007,3900,7230,0.0823,0,NA,0.01,0.1255,0.3327,0.2411,0,0.0478,0,0.2431
"Snead State Community College","Boaz","AL","2","1","5",NA,NA,NA,NA,NA,NA,NA,2161,9622,4260,7590,0.3216,0.2344,NA,0,0.0951,0.1438,0.6871,0,0.0592,0,0.0148
"University of South Alabama","Mobile","AL","3","1","5",0.8604,495,500,23,24,22,1064,11048,17125,6948,13596,0.3342,0.5549,0.723613156603,0.0535,0.0989,0.3098,0.0646,0.0439,0.1907,0.2386,0
"Spring Hill College","Mobile","AL","3","2","5",0.4627,540,540,24,25,23,1100,1269,43325,30924,30924,0.5632,0.6564,0.823913043478,0.1132,0.2264,0.0849,0.0708,0,0.1227,0.382,0
"Southeastern Bible College","Birmingham","AL","3","2","5",0.9615,NA,NA,21,20,20,970,160,19127,11370,11370,0.1935,0.7877,0.64406779661,0,0,0,0,1,0,0,0
"Stillman College","Tuscaloosa","AL","3","2","5",0.43,400,411,19,18,17,882,863,24744,15901,15901,0.2619,0.8145,0.340579710145,0.0876,0.2336,0.0146,0.2044,0,0.2482,0.2117,0
"Talladega College","Talladega","AL","3","2","5",NA,NA,NA,NA,NA,NA,NA,894,18758,11492,11492,0.824,0.928,0.223602484472,0.1282,0.359,0,0,0.1667,0.1281,0.2179,0
"H Councill Trenholm State Technical College","Montgomery","AL","1","1","5",NA,NA,NA,NA,NA,NA,NA,1262,9955,3288,5952,0.3273,0,NA,0,0.0199,0.427,0.0509,0,0.1239,0,0.3784
"Troy University","Troy","AL","3","1","5",0.6821,NA,NA,21,22,21,990,16208,16877,7276,13612,0.3466,0.6414,0.591648291069,0.0239,0.197,0.0606,0.1384,0.1795,0.0786,0.3218,0
"Tuskegee University","Tuskegee","AL","3","2","5",0.3511,455,460,20,20,19,937,2584,32853,18900,18900,0.4384,0.7374,0.601890756303,0.032,0.2384,0.0581,0.0058,0.0087,0.4564,0.2006,0
"United States Sports Academy","Daphne","AL","3","2","5",NA,NA,NA,NA,NA,NA,NA,80,NA,NA,NA,NA,0.6068,0.805825242718,0,0,0,0.5385,0,0,0.4615,0
"Bevill State Community College","Jasper","AL","2","1","5",NA,NA,NA,NA,NA,NA,NA,3212,13443,4230,7560,0.1392,0,NA,0,0.0609,0.3638,0.2393,0,0.0678,0,0.2683
"University of Alaska Anchorage","Anchorage","AK","3","1","8",NA,NA,NA,NA,NA,NA,NA,13116,13180,5147,15206,0.2547,0.286,0.794664268585,0.0554,0.1559,0.226,0.1822,0.0425,0.1664,0.1092,0.0624
"Alaska Bible College","Palmer","AK","1","2","8",NA,NA,NA,NA,NA,NA,NA,26,13380,9200,9200,NA,0.2,NA,0,0,0,0,1,0,0,0
"University of Alaska Fairbanks","Fairbanks","AK","3","1","8",NA,NA,NA,NA,NA,NA,NA,5729,15035,4984,15560,0.309,0.2676,0.75134305449,0.081,0.1181,0.1181,0.1386,0.106,0.2175,0.1256,0.0949
"University of Alaska Southeast","Juneau","AK","3","1","8",NA,NA,NA,NA,NA,NA,NA,1488,16409,5693,16269,0.1389,0.209,0.726890756303,0.0245,0.3106,0.0845,0.2207,0.049,0.1417,0.0681,0.1007
"Alaska Pacific University","Anchorage","AK","3","2","8",0.3745,520,480,22,21,21,1008,340,42925,29810,29810,0.3902,0.4587,0.860696517413,0,0.2875,0,0.225,0.075,0.275,0.1375,0
"AVTEC-Alaska's Institute of Technology","Seward","AK","1","1","8",0.4888,NA,NA,NA,NA,NA,NA,1347,NA,1320,1320,0.9087,0.1447,0.786324786325,0,0.1234,0.3608,0,0,0.1329,0,0.3829
"Charter College-Anchorage","Anchorage","AK","1","2","8",NA,NA,NA,NA,NA,NA,NA,2191,21163,19882,19882,0.3534,0.4152,0.60029717682,0,0.1232,0.603,0,0.0933,0.145,0,0.0355
"Prince William Sound Community College","Valdez","AK","2","1","8",NA,NA,NA,NA,NA,NA,NA,134,12434,4448,4448,0.1923,0.2015,0.794664268585,0,0,0,0.9231,0,0,0.0769,0
"Alaska Career College","Anchorage","AK","1","2","8",NA,NA,NA,NA,NA,NA,NA,335,17095,13693,13693,0.695,0.7894,0.578947368421,0,0.2113,0.7359,0,0,0,0,0.0528
"Collins College","Phoenix","AZ","3","2","6",NA,NA,NA,NA,NA,NA,NA,254,NA,NA,NA,0.3773,0.9203,0.397110849057,0.882,0.0497,0,0,0,0.0683,0,0
"Empire Beauty School-Tucson","Tucson","AZ","1","2","6",NA,NA,NA,NA,NA,NA,NA,175,17171,16000,16000,0.5254,0.7386,0.444695259594,0,0,0,0,0,0,0,1
"American Indian College of the Assemblies of God Inc","Phoenix","AZ","3","2","6",NA,NA,NA,NA,NA,NA,NA,77,20601,12000,12000,0.5,0.6986,NA,0,0.1111,0,0,0.5556,0,0.3333,0
"American Institute of Technology","Phoenix","AZ","1","2","6",NA,NA,NA,NA,NA,NA,NA,278,21896,9150,9150,0.6815,0.7451,0.384046052632,0,0,0,0,0,0,0,1
"Carrington College-Phoenix","Phoenix","AZ","1","2","6",1,NA,NA,NA,NA,NA,NA,676,24417,14287,14287,0.6443,0.6062,0.457754859183,0,0,1,0,0,0,0,0
"Carrington College-Mesa","Mesa","AZ","1","2","6",1,NA,NA,NA,NA,NA,NA,691,26492,14287,14287,0.6836,0.5289,0.457754859183,0,0,1,0,0,0,0,0
"Carrington College-Tucson","Tucson","AZ","1","2","6",1,NA,NA,NA,NA,NA,NA,440,24529,14287,14287,0.6299,0.5356,0.457754859183,0,0,1,0,0,0,0,0
"College America-Flagstaff","Flagstaff","AZ","2","2","6",NA,NA,NA,NA,NA,NA,NA,209,26842,17211,17211,0.4667,0.9569,0.197007481297,0,0.0253,0.9494,0,0,0.0253,0,0
"Arizona Academy of Beauty-East","Tucson","AZ","1","2","6",NA,NA,NA,NA,NA,NA,NA,47,16550,14060,14060,0.6207,0.475,0.339285714286,0,0,0,0,0,0,0,1
"Brookline College-Phoenix","Phoenix","AZ","1","2","6",NA,NA,NA,NA,NA,NA,NA,828,29302,14500,14500,0.4664,0.6346,0.2407239819,0,0.0629,0.8245,0,0.1125,0,0,0
"Arizona State University-Tempe","Tempe","AZ","3","1","6",0.8023,560,585,25,25,26,1145,38480,21960,9861,23654,0.5947,0.4784,0.818742478941,0.1263,0.2316,0.0118,0.1232,0.013,0.2203,0.2741,0
